"title","category","duration","channel","description","url"
"Medytacja na Nowe Początki i Wewnętrzny Spokój","Stres, Medytacja","15","Małgorzata Mostowska","Medytacja na Spokój i Zaufanie. Nowy początek może być dziś... Naprawdę! Każdy dzień jest dobry, aby zacząć... od nowa. Każda chwila i każdy moment. Nie musisz czekać do jakiejś daty w kalendarzu. Nie musisz czekać do nowego roku, do swoich urodzin, do momentu, aż zwolnisz się z pracy, skończysz szkołę, wyprowadzisz się z domu czy ktoś wyprowadzi się do Ciebie. Najlepszy moment, aby zacząć jest właśnie teraz. I ta medytacja niech będzie na to odpowiedzią.  Pooddychamy wspólnie, wyregulujemy się, poczujemy, odpuścimy i spotkamy – ze sobą.  Gotowy/Gotowa?  Zapraszam na krótszą - bo 15 minutową medytację, idealną, gdy trudno znaleźć Ci dla siebie więcej czasu. Nie ma wymówek. Zacznij dzisiaj. Do usłyszenia 💛  Dbajcie o siebie — nie tylko w głowie, ale i w ciele 💛  W razie pytań, piszcie, Kochani, w komentarzach. Fajnie, że jesteście! ___________  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostow... FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=L_dyUATvRrc"
"Ciało, Dotyk i to kim Jestem","Stres","33","Małgorzata Mostowska","Ciało, Dotyk i to kim Jestem. _________________________ Kochani, jeśli zechcielibyście przetestować kosmetyki JESTEM, to Kasia przedłużyła promocję -21% do 11 stycznia 💛 Kod: gosia na stronie: https://jestemdotykiem.pl/produkty/ _________________________  Czasem w życiu spotykamy kogoś w jednym momencie naszej drogi… a potem – po latach – wracamy do tej relacji w zupełnie innym miejscu. Dziś zaprosiłam Kasię Pękalę - kobietę, z którą kilka lat temu połączyło mnie holistyczne podejście do zdrowia – ciała, emocji, codziennych wyborów. Wtedy rozmowy kręciły się głównie wokół tego, jak wspierać siebie od środka. A dziś spotykamy się ponownie, bo ta droga naturalnie poprowadziła w stronę dbania o siebie od zewnątrz.  To bardzo szczera, poruszająca rozmowa — o zdrowiu, o odwadze podejmowania ważnych decyzji, o roli dotyku i o tym jakie znaczenie ma to co nakładamy na ciało.  Dbajcie o siebie — nie tylko w głowie, ale i w ciele. I pamiętajcie, że dbanie o siebie to nie kolejny obowiązek, tylko forma czułości. I czasem to dbanie zaczyna się od oddechu, a czasem… od tego co nakładamy na skórę💛  W razie pytań, piszcie, Kochani, w komentarzach. Fajnie, że jesteście! ___________  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostow... FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=8tl3QTCwDT4"
"Ulubieńcy Ostatnich Miesięcy - Niekosmetyczni :)","Inne","29","Małgorzata Mostowska","Ulubieńcy Ostatnich Miesięcy - tego się chyba nie spodziewaliście! Co więcej - ja sama się tego nie spodziewałam!  Jak zwykle moi ulubieńcy są nieco inni ;) Znajdziecie tu nie tylko materialne rzeczy, ale też zupełnie inne propozycje niematerialne.  Wspomniane ""rzeczy""  💛 Termofor 💛 Naturalna świeca sojowa od TymaHerbs TymaHerbs podarowało nam kod rabatowy na wszystko: -15% z kodem: gosia https://tymaherbs.com/collections/wszystkie-produkty 💛 Książka: ""Umrzeć by stać się sobą"" Moorjani Anita 💛Praktyka: 30 minut dla Całego Ciała: https://www.youtube.com/watch?v=3j0qqpLed5k 10 minut dla Układu Limfatycznego: https://www.youtube.com/watch?v=5wZY3PuK1kw&t=5s 💛Olejek CBD Olejek, który stosuję: https://tiny.pl/k28fcm9d 💛 Spacer bez celu 💛 Podcast Gosi Musiał: https://open.spotify.com/show/1v4PIbkf6kvBkWj2wzIHYM 💛 Pieczona Owsianka Pasta z blanszowanych migdałów od ekogram: https://tiny.pl/s9q3r80y Michał z ekogram podarował nam kod rabatowy -10% na stałe!  Również z kodem gosia :) 💛 Białko NikaLab: https://tiny.pl/zv_6h9pv Na pierwsze zamówienie w Nikalab mamy -20% z kodem: GOSIA 💛 Pasta i Spray Ochronny Probiokoło https://www.ekosynbiotyk.pl/sklep/ Probiokolo podarowało nam stały kod rabatowy na wszystko: -25% z kodem: gosia 💛 Myśl dająca nadzieję :)  Podzielcie się, Kochani, swoimi ulubieńcami (albo tylko jednym), będzie mi bardzo miło poczytać o tym, co Wam daje radość, ciepło, zdrowie i czym się lubicie otaczać 💛   Dbajcie o siebie — nie tylko w głowie, ale i w ciele 💛  W razie pytań, piszcie, Kochani, w komentarzach. Fajnie, że jesteście! ___________  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostow... FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=MCPIEXH6YOY"
"Czy Emocje Mogą Nas Rozchorować? O Emocjach Ukrytych w Ciele","Kręgosłup, Stres, Siła","38","Małgorzata Mostowska","Czy Emocje Mogą Nas Rozchorować? O Emocjach Ukrytych w Ciele.  Tym razem miałam ogromną przyjemność porozmawiać z dr Małgosią Drabek - wspaniałą lekarką i entuzjastką holistycznego podejścia do zdrowia.  Dlaczego czasem bolą nas plecy, choć niczego nie dźwigamy? Skąd ten ścisk w brzuchu, kiedy niby wszystko jest „w porządku”? I dlaczego ciało pamięta to, o czym głowa chciałaby zapomnieć?  W tym odcinku rozmawiamy o tym, co od dawna potwierdzają zarówno naukowcy, jak i terapeuci pracy z ciałem: emocje mieszkają w ciele. Niewypowiedziany lęk, tłumiony gniew, długotrwały stres czy smutek, który „przełykamy” — mogą latami odkładać się w naszych tkankach, osłabiając układ odpornościowy, wpływając na hormony, trawienie, a nawet na sposób, w jaki oddychamy i trzymamy ciało.  To bardzo szczera, poruszająca rozmowa — o zdrowiu, o odwadze czucia, o sygnałach płynących z ciała i o tym, jak naprawdę działa psychosomatyka.  Link do naszej rozmowy o śnie: https://tiny.pl/3dsdtzww  Dbajcie o siebie — nie tylko w głowie, ale i w ciele 💛  W razie pytań, piszcie, Kochani, w komentarzach. Fajnie, że jesteście! ___________  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostow... FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=dYX_h19cCb8"
"Medytacja dla Dzieci przed Snem #5","Medytacja","15","Małgorzata Mostowska","Witaj mały aniołku... tak zaczyna się każda kolejna medytacja dla dzieci :) Uwielbiam je dla Was nagrywać i dopóki będę mogła,  w każdym roku, na Mikołajki taka medytacja będzie się pojawiać :) To już 5 medytacja dla dzieci, odwiedziliśmy już wspólnie las, byliśmy nad morzem, w chmurach i ostatnio - w Zimowej Krainie. Tym razem wybierzemy się do... Dżungli, ale ciii.... niech dzieci mają niespodziankę ;) Pamiętajcie, że każda z medytacji dla dzieci to praktyka nie tylko dla najmłodszych. Myślę, że każdy z nas się w niej odnajdzie, przecież każdy z nas ma w sobie coś z dziecka :)  To medytacja aka relaksacja, która po raz pierwszy zrodziła się w mojej głowie ponad 5 lat temu, gdy wieczorami moja wtedy prawie 3-letnia córeczka prosiła mnie coraz częściej o „historyjki” czy też „opowiadania”. Zauważyłam, że ciekawią ją zwłaszcza te z magią w tle :) Mam nadzieję zatem, że ta magiczna opowieść przypadnie do gustu również Twojemu dziecku (a może i Tobie!).  Daj proszę swojemu dziecku przestrzeń i nie narzucaj niczego. Jeśli nie będzie chętne do odsłuchania, po prostu odpuść. Sięgnie po tę czy inna medytację, gdy będzie na to gotowe. Dzieci wiedzą co jest dla nich dobre.  Ściskam Was ciepło, życząc spokojnego czasu i… dobrej nocy.   Pozostańmy w kontakcie:   INSTAGRAM - https://www.instagram.com/gosiamostowska/  FACEBOOK - https://www.facebook.com/mmostowskayoga/  WWW - http://mmyoga.pl/  BLOG - http://purestyle.pl/  WSPÓŁPRACA: wspolpraca@mmyoga.pl  GRUPA NA FB: http://tiny.pl/gpw9h   Wspieraj mnie: https://patronite.pl/mmyoga  🖤   Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym! Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce!  Gosia ♥","https://www.youtube.com/watch?v=0yMxOnSdGvA"
"Uzdrawiająca Medytacja na Sen z Afirmacjami","Medytacja, Stres, Wieczór","36","Małgorzata Mostowska","Uzdrawiająca Medytacja na Sen z Afirmacjami to nieco ponad półgodziny prowadzonej relaksacji. Spokojna muzyka w tle, rozluźnianie poszczególnych części ciała, wizualizacja światła, subtelne prowadzenie, świadomy kojący oddech i afirmacje łagodności, wdzięczności, regeneracji i odpoczynku będą stanowić piękne przygotowanie do głębokiego snu.  Pamiętaj, że możesz sobie pomóc. Ja Cię będę w tym wspierać i trzymać za rękę 🖤  Pamiętaj o wygodnym ubiorze (piżamce lub w ogóle braku odzienia), opróżnionym pęcherzu moczowym, przykryciem kołderką lub kocem (podczas medytacji może zrobić się chłodniej - organizm się wyciszy i w związku z tym wychłodzi) i znalezieniu dla siebie najbardziej  komfortowego miejsca. Przygotuj się na relaks i spokojny sen.  ""Cześć Kochani, tutaj Gosia. Witajcie na wieczornej, kojącej i uzdrawiającej nasze ciała i duszę medytacji prowadzonej.  Najlepiej jeśli od razu ułożycie się wygodnie, już w łóżku, gotowi do zaśnięcia i głębokiego relaksu."".  💜 Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostow... FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=NB5rosfmoBU"
"Medytacja Powrotu do Siebie – na Trudna Czasy, Stres, Niepokój i Codzienną Higienę Umysłu","Stres, Medytacja","17","Małgorzata Mostowska","Medytacja Powrót do Siebie – na Trudna Czasy, Stres, Niepokój i Codzienną Higienę Umysłu to kilkanaście minut zatrzymania, wyciszenia, oddechu i powrotu... do swojego serca, do swojego domu.  Chciałabym, aby ta medytacja stała się taką codzienną higieną umysłu. Aby wspierała nie tylko wtedy gdy jest trudno – w nas czy na zewnątrz, ale też w momentach, w których w zasadzie niby ni c się nie dzieje. Aby budowała rezyliencję, taką odporność psychiczną, którą zawsze będziesz mieć przy sobie i dzięki której zachowasz więcej spokoju. Ta medytacja jest zaproszeniem do ukojenia – nie dlatego, aby życie było zawsze spokojne, ale dlatego, aby spokój odczuwać i odzyskiwać w sobie. Wracając do ciała, do oddechu i do chwili obecnej.  Nie musisz teraz nic robić. Do niczego dążyć. Niczego udowadniać. Jesteś tutaj. Wystarczająca. Wystarczający. Taki, jaka/jaki jesteś – w tej chwili. i to wystarczy.  Ta medytacja będzie odpowiednia dla początkujących, jako że jest to medytacja prowadzona jak i tych, którzy nie pierwszy raz zagłębiają się w swój umysł. Pierwsze efekty medytacji są zauważalne tak naprawdę od razu - w postaci wyciszenia, większego spokoju i przyjemnych odczuć, inne - jak np. większa odporność na stres czy poczucie wewnętrznego spokoju bez względu na okoliczności, zauważamy zwykle po kilku tygodniach czy miesiącach regularnej praktyki. Zatem, warto medytować codziennie, albo chociaż kilka razy w tygodniu. Ta medytacja to wspaniale zainwestowane w siebie niecałe 20 minut.  Zapraszam Was do mojego świata.  Pozostańmy w kontakcie: INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=MWvHrkYzM5E"
"PMS, Menstruacja, Menopauza - Cykl Kobiecy i jak Wspierać się Naturalnie","Inne","39","Małgorzata Mostowska","Kochani, przed Wami druga taka rozmowa na tym kanale (będzie więcej!). Tym razem - temat bardzo kobiecy. Z farmaceutką, akupunktyurzystką i terapeutką medycy chińskiej Magdaleną Wojciechowską-Budzisz.  A dzisiaj temat niesamowicie ciekawy, bo rozmawiamy o zdrowiu kobiet z punktu widzenia rytmu kobiecego życia. Ciało kobiece funkcjonuje w cyklu miesięcznym, w przeciwieństwie do mężczyzn, którzy funkcjonują dobowo. Jeśli będziemy w stanie posłuchać swojego ciała i działać w zgodzie z jego rytmem i potrzebami to wyjdzie nam to tylko na zdrowie :)  Magda pięknie tu porównuje cykle do pór roku... ale więcej już w samej rozmowie! :)  Zapraszamy!  O Magdalenie Wojciechowskiej Budzisz: z pierwotnego wykształcenia farmaceutka, z zamiłowania i pasji terapeutka medycyny naturalnej. Zajmuje się homeopatią, dietetyką, ziołolecznictwem, medycyną chińską. Prywatnie uwielbia podróże, wyzwania, książki i koty.  Profil Magdy na IG: https://www.instagram.com/konopielka.pl/  W razie pytań, piszcie, Kochani, w komentarzach. Fajnie, że jesteście! ___________  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostow... FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=AaRtNdnShHQ"
"Joga dla Całego Ciała - 30 minut Pracy na Każdy Dzień!","Poranek, Stres","31","Małgorzata Mostowska","Joga dla Całego Ciała - 30 minut Pracy na Każdy Dzień to taka praktyka, która będzie pięknie wzmacniała i uelastyczniała całe ciało. Będzie idealna na każdy dzień jako forma higieny ciała i dbania o siebie. To pół godziny pracy z ciałem, oddechem, równowagą, a także chwila rozciągania i relaksu na koniec.  Tę praktykę możesz wykonać samodzielnie, np. o poranku na rozbudzenie ciała i umysłu na dobry dzień, a także w ciągu dnia jako przerwę od pracy na rozruszanie.  Przytulam Was ciepło i widzimy się na kolejnych praktykach!  Nagranie powstało przy pomocy Ani, odwiedźcie koniecznie jej profil na IG: https://www.instagram.com/travelstoriespl/  💜  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Dołącz do nas na FB: https://www.facebook.com/groups/937273756408877/   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce!","https://www.youtube.com/watch?v=3j0qqpLed5k"
"Wieczorna Joga na Sen - Zrelaksuj Się","Poranek, Stres, Wieczór","18","Małgorzata Mostowska","Wieczorna Joga na Sen to propozycja dla wszystkich, którzy chcą zakończyć dzień łagodnie i kojąco. To taka praktyka, którą mogę polecić każdemu - taka higiena snu i zadbania o siebie na każdy dzień.  To niecałe 20 minut spokojnej i kojącej pracy z ciałem, oddechem i układem nerwowym (zwłaszcza jego przywspółczulną częścią odpowiedzialną za relaks i trawienie), a także rozciągania, które możesz wykonać samodzielnie, np. o poranku jako spokojną rozciągającą praktykę na dobry dzień, w ciągu dnia jako przerwę od pracy a najlepiej - przed snem na wyciszenie i przygotowanie się do całonocnego odpoczynku.  Ściskam Was czule i widzimy się na kolejnych praktykach!  Nagranie powstało przy pomocy Ani, odwiedźcie koniecznie jej kanał: https://www.instagram.com/travelstoriespl/  💜  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Dołącz do nas na FB: https://www.facebook.com/groups/937273756408877/   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=8iH_X-6dqQ4"
